76,"-6.245336, 106.826054",Jakarta Mampang 1,Jl. Mampang Prapatan No. 61,Mampang Prapatan,Mampang Prapatan,Wil. Kota Jakarta Selatan,12790,DKI JAKARTA,JAKARTA PLAZA MANDIRI,7007,,,
77,"-6.228906, 106.819677",Jakarta Graha Mitra 1,Jl. Jend. Gatot Subroto Kav. 21,Karet Semanggi,Setia Budi,Wil. Kota Jakarta Selatan,12930,DKI JAKARTA,JAKARTA PLAZA MANDIRI,7008,Revisi,V,
78,"-6.264536,106.8306446",Jakarta Warung Buncit Raya 1,"Jl. Warung Buncit Raya No. 6, Wisma Ritra",Kalibata,Pancoran,Wil. Kota Jakarta Selatan,12740,DKI JAKARTA,JAKARTA PLAZA MANDIRI,7018,,,
79,"-6.2860206,106.7804084",Jakarta Pondok Indah 1,Jl. Metro Pondok Indah Kav.II UA No. 48-50,Pondok Pinang,Kebayoran Lama,Wil. Kota Jakarta Selatan,12310,DKI JAKARTA,JAKARTA PONDOK INDAH,10100,,,
80,"-6.271075, 106.757102",Jakarta Bintaro Jaya 1,"Jl. Bintaro Utama I, Bintaro Jaya Sektor I",Bintaro,Pesanggrahan,Wil. Kota Jakarta Selatan,12330,DKI JAKARTA,JAKARTA PONDOK INDAH,10119,,,
81,"-6.274699, 106.763340",Jakarta Bintaro Veteran 1,Jl. RS Veteran No. 01 - CD,Kel. Bintaro,Pesanggrahan,Wil. Kota Jakarta Selatan,12330,DKI JAKARTA,JAKARTA PONDOK INDAH,10122,,,
82,"-6.3000376,106.7794909",Jakarta Lebak Bulus 1,Komp. Perum Bona Indah Blok A.2A/11 Jl. Karang Tengah Raya,Lebak Bulus,Cilandak,Wil. Kota Jakarta Selatan,12440,DKI JAKARTA,JAKARTA PONDOK INDAH,10106,,,
83,"-6.236275,106.7495773",Jakarta Petukangan 1,Jl. Raya Ciledug No. 4,Petukangan Utara,Pesanggrahan,Wil. Kota Jakarta Selatan,12270,DKI JAKARTA,JAKARTA PONDOK INDAH,10123,,,
84,"-6.230467, 106.779903",Jakarta Kebayoran Lama 1,Jl. Raya Kebayoran Lama No. 222,Grogol Selatan,Kebayoran Lama,Wil. Kota Jakarta Selatan,12220,DKI JAKARTA,JAKARTA PONDOK INDAH,10116,,,
85,"-6.274226, 106.773802",Jakarta Pondok Pinang Center 1,"Pertokoan Pondok Pinang Center Blok A 36/38/40, Jl. Ciputat Raya",Pondok Pinang,Kebayoran Lama,Wil. Kota Jakarta Selatan,12310,DKI JAKARTA,JAKARTA PONDOK INDAH,10110,,,
86,"-6.2909351,106.7840268",Jakarta Aminta Plaza 1,"Gedung Aminta Plaza, Jl. Letjend. T.B. Simatupang Kav. X",Pondok Pinang,Kebayoran Lama,Wil. Kota Jakarta Selatan,12310,DKI JAKARTA,JAKARTA PONDOK INDAH,10107,,,
87,"-6.248832, 106.781447",Jakarta Arteri Pondok Indah 1,Jl. Sultan Iskandar Muda No. 8 A,Kebayoran Lama Selatan,Kebayoran Lama,Wil. Kota Jakarta Selatan,12240,DKI JAKARTA,JAKARTA PONDOK INDAH,10111,,,
88,"-6.213683, 106.819708",Jakarta World Trade Center 1,Jl. Jend. Sudirman Kav. 29,Setiabudi,Setiabudi,Wil. Kota Jakarta Selatan,12920,DKI JAKARTA,JAKARTA SUDIRMAN,10220,,,
89,"-6.232668, 106.796338",Jakarta Pakubuwono 1,"Jl. Pakubuwono VI No. 6, Kebayoran Baru",Gunung,Kebayoran Baru,Wil. Kota Jakarta Selatan,12120,DKI JAKARTA,JAKARTA SUDIRMAN,10211,,,
90,"-6.234869, 106.785937",Jakarta Simprug 1,"Simprug Gallery Blok B, Jl. Teuku Nyak Arief No. 10",Grogol Selatan,Kebayoran Lama,Wil. Kota Jakarta Selatan,12220,DKI JAKARTA,JAKARTA SUDIRMAN,10202,,,
91,"-6.2214285,106.783983",Jakarta ITC Permata Hijau 2,"Ruko Grand ITC Permata Hijau Blok Emerald G 28, Jl. Arteri Permata Hijau",Grogol Utara,Kebayoran Lama,Wil. Kota Jakarta Selatan,12210,DKI JAKARTA,JAKARTA SUDIRMAN,10212,,,
92,"-6.208941, 106.822280",Jakarta Sudirman Plaza 1,"Gedung Sudirman Plaza, Indofood Tower Lantai 1 Suite D & E Jl. Jend. Sudirman Kav. 76-78",Setiabudi,Setiabudi,Wil. Kota Jakarta Selatan,12190,DKI JAKARTA,JAKARTA SUDIRMAN,10229,,,
93,"-6.238635, 106.816716",Jakarta Tendean 1,Jl. Wolter Monginsidi No. 123 C,Rawa Barat,Kebayoran Baru,Wil. Kota Jakarta Selatan,12180,DKI JAKARTA,JAKARTA SUDIRMAN,10207,Revisi,,
